epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1387,1.27026,1.92551,1.19498,0.46927,0.31065,0.27744,0.16821,1.57668,2.87664,1.42814,0.000663283,0.000663283,0.000663283
2,103.466,1.48151,1.74683,1.33125,0.46436,0.32939,0.29749,0.17252,1.53662,2.09576,1.3561,0.00128606,0.00128606,0.00128606
3,153.093,1.47296,1.71635,1.33394,0.45201,0.28698,0.2639,0.16925,1.60024,2.03639,1.4837,0.00186484,0.00186484,0.00186484
4,203.805,1.45302,1.69822,1.32577,0.53465,0.31854,0.32832,0.2067,1.51533,1.90349,1.37558,0.001802,0.001802,0.001802
5,255.409,1.4155,1.60074,1.28454,0.56853,0.3501,0.36714,0.23367,1.44926,1.70905,1.28621,0.001736,0.001736,0.001736
6,305.892,1.38216,1.54395,1.25944,0.59607,0.34122,0.3618,0.23101,1.42688,1.70095,1.30983,0.00167,0.00167,0.00167
7,355.521,1.31666,1.49111,1.22857,0.5676,0.38363,0.39694,0.26058,1.35108,1.56188,1.26115,0.001604,0.001604,0.001604
8,405.164,1.30243,1.42733,1.2193,0.58315,0.38166,0.40867,0.26437,1.35607,1.50307,1.24858,0.001538,0.001538,0.001538
9,455.069,1.25964,1.39816,1.19907,0.60372,0.39546,0.42268,0.27701,1.30926,1.58221,1.24093,0.001472,0.001472,0.001472
10,504.788,1.24899,1.3608,1.18868,0.59091,0.39546,0.41518,0.28132,1.2797,1.45857,1.21933,0.001406,0.001406,0.001406
11,555.762,1.25396,1.35069,1.19985,0.57611,0.41321,0.4233,0.28661,1.25366,1.41749,1.20009,0.00134,0.00134,0.00134
12,606.633,1.18299,1.27293,1.16334,0.65517,0.40039,0.44642,0.30233,1.22089,1.31284,1.19134,0.001274,0.001274,0.001274
13,656.541,1.16291,1.2344,1.14973,0.59174,0.42209,0.43924,0.30242,1.21825,1.41223,1.18699,0.001208,0.001208,0.001208
14,706.414,1.1768,1.22439,1.14985,0.61875,0.42702,0.45194,0.30553,1.20485,1.30289,1.17627,0.001142,0.001142,0.001142
15,757.369,1.13976,1.19381,1.12821,0.64331,0.42899,0.46314,0.31306,1.21234,1.28532,1.16953,0.001076,0.001076,0.001076
16,809.642,1.12949,1.17276,1.10936,0.64141,0.42702,0.46739,0.31813,1.20526,1.24478,1.16889,0.00101,0.00101,0.00101
17,861.132,1.10645,1.14277,1.11155,0.64383,0.41223,0.46185,0.31341,1.1499,1.41492,1.14285,0.000944,0.000944,0.000944
18,911.113,1.08839,1.12309,1.10922,0.64077,0.4359,0.48315,0.33561,1.15807,1.26161,1.1479,0.000878,0.000878,0.000878
19,961.898,1.07651,1.09987,1.09665,0.69991,0.40631,0.47162,0.32678,1.14503,1.23615,1.13936,0.000812,0.000812,0.000812
20,1011.99,1.07144,1.08353,1.08878,0.6584,0.42899,0.48457,0.33139,1.13917,1.24069,1.14611,0.000746,0.000746,0.000746
21,1081.76,1.09344,1.09866,1.11171,0.68473,0.43688,0.49753,0.34393,1.14636,1.21969,1.13506,0.00068,0.00068,0.00068
22,1131.28,1.07941,1.04759,1.09043,0.70449,0.40828,0.48599,0.33809,1.14627,1.22961,1.1467,0.000614,0.000614,0.000614
23,1180.98,1.06099,1.02258,1.08607,0.65984,0.44773,0.49074,0.33961,1.12011,1.20761,1.13101,0.000548,0.000548,0.000548
24,1230.42,1.03931,0.98208,1.06953,0.68131,0.44064,0.493,0.34567,1.12812,1.19657,1.14388,0.000482,0.000482,0.000482
25,1280.29,1.02858,0.96097,1.06202,0.7376,0.41913,0.50144,0.35188,1.10503,1.16825,1.12732,0.000416,0.000416,0.000416
26,1330.23,1.0128,0.94119,1.05686,0.68059,0.45464,0.51623,0.35891,1.12506,1.15008,1.14281,0.00035,0.00035,0.00035
27,1380.24,0.98588,0.89208,1.03592,0.73476,0.41223,0.50629,0.35071,1.10726,1.15494,1.13382,0.000284,0.000284,0.000284
28,1430.1,0.97764,0.86824,1.03155,0.71037,0.43886,0.51108,0.35993,1.10313,1.14776,1.13578,0.000218,0.000218,0.000218
29,1480.4,0.95815,0.8234,1.02799,0.63859,0.46844,0.51317,0.35908,1.09754,1.14085,1.13195,0.000152,0.000152,0.000152
30,1530.25,0.94645,0.80285,1.02025,0.6507,0.48028,0.51541,0.36447,1.09665,1.1205,1.13817,8.6e-05,8.6e-05,8.6e-05
